| SOTA1-1a | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | CRR-SCL AHEAD of the best of {ER, ER-ACE, DER++, X-DER} (highest mean over seeds 0-4) | AHEAD over seeds 0-4 | best baseline er_ace; d = -3.300000 (-3.30), step 1.0678; per seed -2.11 / -4.51 / -3.00 / -4.60 / -2.28 -> BEHIND | 5/5 seeds behind | **FAIL** | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-1b | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | CRR-SCL not BEHIND that best baseline | not BEHIND | d = -3.300000 (-3.30), step 1.0678; per seed -2.11 / -4.51 / -3.00 / -4.60 / -2.28 -> BEHIND | 5/5 seeds behind | **FAIL** | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-2 | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | H-EQ (Omega = 1) as the KD weight AHEAD of MKD's published lambda = 5.5 (crr-kdfixed) | AHEAD = PASS; TIE = REDUCES; BEHIND = FAIL | d = -2.943333 (-2.94), step 1.0000; per seed -3.47 / -2.93 / -2.43 -> BEHIND | 3/3 seeds behind | **FAIL** | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-3:crr-ace | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | A3 reading: full CRR-SCL AHEAD of the arm without the asymmetric incoming loss | AHEAD over seeds 0-2 | d = +0.366667 (+0.37), step 1.0000; per seed +0.54 / +0.22 / +0.34 -> TIE | 3/3 seeds ahead | **FAIL** | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-3:crr-cos | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | H-EQ at the head: full AHEAD of the arm without the cosine classifier | AHEAD over seeds 0-2 | d = +0.800000 (+0.80), step 1.0000; per seed +0.25 / +0.65 / +1.50 -> TIE | 3/3 seeds ahead | **FAIL** | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-3:crr-a8 | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | A8 reading: full AHEAD of the arm without the past-logit mask and X-DER fill | AHEAD over seeds 0-2 | d = -1.256667 (-1.26), step 1.1925; per seed -1.07 / -2.37 / -0.33 -> BEHIND | 3/3 seeds behind | **FAIL** | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-3:crr-alpha | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | A6 reading: full AHEAD of the arm without logit replay | AHEAD over seeds 0-2 | d = +0.130000 (+0.13), step 1.3202; per seed +1.22 / -1.06 / +0.23 -> TIE | 2/3 seeds ahead | **FAIL** | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-3:crr-beta | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | A6/A8 reading: full AHEAD of the arm without label replay | AHEAD over seeds 0-2 | d = +5.176667 (+5.18), step 1.0000; per seed +5.86 / +4.26 / +5.41 -> AHEAD | 3/3 seeds ahead | **PASS-0** (unseen, strongly anchored; not PASS-1 until the SOTA1-S table covers it and a second carrier replicates; the component is DER++'s label term, M4/M5) | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-3:crr-kd | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | A6 reading: full AHEAD of the arm without the pull toward the slow model | AHEAD over seeds 0-2 | d = -4.300000 (-4.30), step 1.0104; per seed -4.78 / -4.83 / -3.29 -> BEHIND | 3/3 seeds behind | **FAIL** | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-3:crr-stepclock | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | D2/A1' reading: full AHEAD of the arm whose slow model runs on the step clock | AHEAD over seeds 0-2 | d = +0.126667 (+0.13), step 1.0000; per seed +0.22 / +0.03 / +0.13 -> TIE | 3/3 seeds ahead | **FAIL** | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
| SOTA1-3:pred-fast | 4986bbee (anchor: OpenTimestamps complete, Bitcoin blocks 968549/968554/968555/968581, earliest 2026-09-25T13:06:00Z, runs/sota1/ots_upgrade.txt; prereg commit de95c63, 2026-09-25T11:51:16Z; every hashed file unchanged after the run, runs/sota1/hash_check.txt; data fetched 2026-09-26T00:07:26Z) | CIFAR-100 (Krizhevsky 2009) as online Split-CIFAR-100, 10 tasks of 10 classes, natural order; reduced ResNet-18, M = 2000, lr 0.1, one epoch, batch 10 (Y) | nearest class mean on the slow model against the fast head (same units) | report only (AHEAD on the R4 surrogate) | d = +7.958000 (+7.96), step 1.0000; per seed +7.74 / +7.14 / +8.34 / +8.50 / +8.07 -> AHEAD | 5/5 seeds ahead | report (no verdict) | prereg/sota1/sota1_score.py (frozen); runs/sota1/ledger_rows.py | runs/sota1/score.txt; runs/sota1/results.json; runs/sota1/units/ |
